"","V1","V2","V3","V4","V5","V6","V7","V8"
"Missing Number","12","14","10","16","20","18","14","14"
"Missing %:","40","46.6666666666667","33.3333333333333","53.3333333333333","66.6666666666667","60","46.6666666666667","46.6666666666667"
"Min:","1","1","1","1","5","2","2","1"
"Mean:","2.22222222222222","2.5","2.7","4.42857142857143","6.4","3","3.5","4.375"
"Max:","4","5","4","15","7","4","8","10"
"Variance:","1.59477124183007","1.6","1.27368421052632","22.1098901098901","0.711111111111111","0.727272727272727","4.26666666666667","9.31666666666667"
"25th Percentile:","1","2","2","1.25","6","2","2","2"
"50th Percentile:","2","2","3","3","7","3","2.5","3.5"
"75th Percentile:","3","2.5","4","4.75","7","4","4.25","5.75"
"Missingness Type:","MAR","MAR","MAR","MAR","MNAR","MNAR","MAR","MAR"
"Distribution (by GAMLSS)","GG","BCT","GG","BCPE","GG","GG","BCPEo","IG"
"Distribution Description","generalised Gamma Lopatatsidis-Green","Box-Cox t","generalised Gamma Lopatatsidis-Green","Box-Cox Power Exponential","generalised Gamma Lopatatsidis-Green","generalised Gamma Lopatatsidis-Green","Box-Cox Power Exponential-orig.","Inverse Gaussian"
